27-03-2026,18:39:25,"(-0.5936784081592925, -0.08913169996826004, -0.6790796333904655)"
27-03-2026,18:39:26,"(-0.05462480865020421, 0.03770444109270193, -0.0002664624812205083)"
27-03-2026,18:39:27,"(-0.049562021507014546, 0.04170137831100955, 0.006661562030512709)"
27-03-2026,18:39:28,"(-0.0543583461689837, 0.045298621807486415, -0.0013323124061025418)"
27-03-2026,18:39:29,"(-0.05529096485325548, 0.0415681470703993, -0.0037304747370871167)"
27-03-2026,18:39:30,"(-0.05529096485325548, 0.040901990867348026, -0.0006661562030512709)"
27-03-2026,18:39:31,"(-0.05635681477813751, 0.041035222107958284, -0.0030643185340358454)"
27-03-2026,18:39:32,"(-0.05462480865020421, 0.04290045947650184, -0.0019984686091538122)"
27-03-2026,18:39:33,"(-0.05489127113142472, 0.0433001531983326, -0.0003996937218307625)"
27-03-2026,18:39:34,"(-0.0543583461689837, 0.03890352225819422, -0.0030643185340358454)"
27-03-2026,18:39:35,"(-0.05329249624410167, 0.041301684589178794, -0.002264931090374321)"
27-03-2026,18:39:37,"(-0.0558238898156965, 0.03930321598002497, -0.007194486992953725)"
27-03-2026,18:39:38,"(-0.17226799410905863, -0.5915467083095285, -0.19132006151632497)"
27-03-2026,18:39:39,"(-0.05982082703400412, 0.22396171546583724, -0.037171516130260915)"
27-03-2026,18:39:40,"(-0.004130168458917879, 0.049029096544573526, -0.021983154700691936)"
27-03-2026,18:39:41,"(-0.053558958725322174, 0.041834609551619814, -0.0035972434964768626)"
27-03-2026,18:39:42,"(-0.053692189965932426, 0.041967840792230066, 0.0002664624812205083)"
27-03-2026,18:39:43,"(-0.05502450237203497, 0.04210107203284032, -0.00013323124061025415)"
27-03-2026,18:39:44,"(-0.053692189965932426, 0.0433001531983326, -0.004130168458917879)"
27-03-2026,18:39:45,"(-0.055690658575086247, 0.04316692195772235, 0.0003996937218307625)"
27-03-2026,18:39:46,"(-0.05462480865020421, 0.04250076575467108, -0.003863705977697371)"
27-03-2026,18:39:47,"(-0.05462480865020421, 0.0415681470703993, -0.0026646248122050836)"
27-03-2026,18:39:48,"(-0.05489127113142472, 0.04063552838612752, -0.003863705977697371)"
27-03-2026,18:39:49,"(-0.05529096485325548, 0.04343338443894285, -0.003464012255866608)"
27-03-2026,18:39:50,"(-0.05555742733447598, 0.041434915829789046, 0.0003996937218307625)"
27-03-2026,18:39:51,"(-0.05529096485325548, 0.04449923436382489, 0.0009326186842717792)"
27-03-2026,18:39:52,"(-0.05515773361264523, 0.03903675349880447, -0.0039969372183076245)"
27-03-2026,18:39:53,"(-0.05635681477813751, 0.04636447173236845, -0.004130168458917879)"
27-03-2026,19:05:08,"(-0.49175650909244817, -0.044765696845045395, -0.672551302600563)"
27-03-2026,19:05:09,"(-0.05529096485325548, 0.03903675349880447, -0.0014655436467127959)"
27-03-2026,19:05:10,"(-0.05542419609386573, 0.040768759626737774, -0.0026646248122050836)"
27-03-2026,19:05:11,"(-0.054091883687763194, 0.040901990867348026, -0.0003996937218307625)"
27-03-2026,19:05:12,"(-0.07740735079455767, 0.035173047521107094, -0.10858346109735714)"
27-03-2026,19:05:13,"(-0.05595712105630675, 0.041168453348568536, -0.006528330789902454)"
27-03-2026,19:05:14,"(-0.05662327725935802, 0.03943644722063524, 0.0)"
27-03-2026,19:05:15,"(-0.056090352296917, 0.04170137831100955, -0.006128637068071691)"
27-03-2026,19:05:16,"(-0.05595712105630675, 0.04383307816077362, -0.00159877488732305)"
27-03-2026,19:05:18,"(-0.05555742733447598, 0.03983614094246599, -0.0003996937218307625)"
27-03-2026,19:05:19,"(-0.053159265003491406, 0.041035222107958284, -0.0005329249624410166)"
27-03-2026,19:05:20,"(-0.0558238898156965, 0.0430336907171121, -0.0014655436467127959)"
27-03-2026,19:05:21,"(-0.053558958725322174, 0.04170137831100955, -0.003863705977697371)"
27-03-2026,19:05:22,"(-0.057156202221799034, 0.04343338443894285, -0.0005329249624410166)"
27-03-2026,19:05:23,"(-0.05249310880044014, 0.04583154676992743, -0.003464012255866608)"
27-03-2026,19:05:24,"(-0.05635681477813751, 0.04023583466429676, -0.0057289433462409285)"
27-03-2026,19:05:25,"(-0.05529096485325548, 0.041834609551619814, -0.004263399699528133)"
27-03-2026,19:05:26,"(-0.0528928025222709, 0.03877029101758396, -0.00479632466196915)"
27-03-2026,19:05:27,"(-0.05662327725935802, 0.04236753451406082, -0.0018652373685435584)"
27-03-2026,19:05:28,"(-0.05635681477813751, 0.04316692195772235, -0.0006661562030512709)"
27-03-2026,19:05:29,"(-0.05249310880044014, 0.0401026034236865, -0.0021316998497640663)"
27-03-2026,19:05:30,"(-0.05475803989081446, 0.045565084288706925, -0.0014655436467127959)"
27-03-2026,19:05:31,"(-0.05129402763494785, 0.04290045947650184, -0.0003996937218307625)"
27-03-2026,19:05:33,"(-0.049029096544573526, 0.037837672333312186, -0.0026646248122050836)"
27-03-2026,19:05:34,"(-0.05342572748471192, 0.041301684589178794, -0.0026646248122050836)"
27-03-2026,19:05:35,"(-0.05462480865020421, 0.03903675349880447, -0.0010658499248820332)"
27-03-2026,19:05:36,"(-0.05675650849996827, 0.044632465604435144, -0.004663093421358896)"
27-03-2026,19:05:37,"(-0.05462480865020421, 0.04223430327345057, -0.0010658499248820332)"
27-03-2026,19:05:38,"(-0.05502450237203497, 0.03810413481453269, -0.005062787143189658)"
27-03-2026,19:05:39,"(-0.0543583461689837, 0.046231240491758196, -0.004529862180748642)"
27-03-2026,19:05:40,"(-0.05262634004105039, 0.04543185304809667, -0.0037304747370871167)"
27-03-2026,19:05:41,"(-0.054491577409593955, 0.03930321598002497, -0.0035972434964768626)"
27-03-2026,19:05:42,"(-0.054491577409593955, 0.040768759626737774, -0.002398162330984575)"
27-03-2026,19:05:43,"(-0.0528928025222709, 0.041434915829789046, -0.0035972434964768626)"
27-03-2026,19:05:44,"(-0.05542419609386573, 0.044632465604435144, -0.004396630940138387)"
27-03-2026,19:05:45,"(-0.053558958725322174, 0.03916998473941472, -0.005062787143189658)"
27-03-2026,19:05:47,"(-0.05635681477813751, 0.041035222107958284, -0.006794793271122962)"
27-03-2026,19:05:48,"(-0.058754977109122086, 0.040768759626737774, -0.0009326186842717792)"
27-03-2026,19:05:49,"(-0.05675650849996827, 0.04023583466429676, -0.0010658499248820332)"
27-03-2026,19:05:50,"(-0.05475803989081446, 0.03877029101758396, -0.0039969372183076245)"
27-03-2026,19:05:51,"(-0.053026033762881154, 0.04170137831100955, -0.005196018383799912)"
27-03-2026,19:05:52,"(-0.05502450237203497, 0.040768759626737774, -0.0021316998497640663)"
27-03-2026,19:05:53,"(-0.058488514627901576, 0.041434915829789046, -0.006794793271122962)"
27-03-2026,19:05:54,"(-0.05542419609386573, 0.041168453348568536, -0.002797856052815337)"
27-03-2026,19:05:55,"(-0.05382542120654268, 0.04369984692016337, -0.008926493120887028)"
27-03-2026,19:05:56,"(-0.0575558959436298, 0.04210107203284032, -0.006928024511733216)"
27-03-2026,19:05:57,"(-0.0558238898156965, 0.041434915829789046, -0.005329249624410167)"
27-03-2026,19:05:58,"(-0.05342572748471192, 0.041834609551619814, -0.005196018383799912)"
27-03-2026,19:05:59,"(-0.05382542120654268, 0.04223430327345057, 0.001732006127933304)"
27-03-2026,19:06:00,"(-0.05182695259738887, 0.04316692195772235, -0.0035972434964768626)"
27-03-2026,19:06:02,"(-0.05595712105630675, 0.03983614094246599, -0.002797856052815337)"
27-03-2026,19:06:03,"(-0.05489127113142472, 0.04356661567955311, -0.0014655436467127959)"
27-03-2026,19:06:04,"(-0.05649004601874777, 0.04356661567955311, -0.005329249624410167)"
27-03-2026,19:06:05,"(-0.053692189965932426, 0.03903675349880447, -0.0039969372183076245)"
27-03-2026,19:06:06,"(-0.05542419609386573, 0.04223430327345057, -0.0011990811654922875)"
27-03-2026,19:06:07,"(-0.05129402763494785, 0.040901990867348026, -0.014255742745297196)"
27-03-2026,19:06:08,"(-0.05649004601874777, 0.04396630940138387, -0.0014655436467127959)"
27-03-2026,19:06:09,"(-0.056090352296917, 0.0430336907171121, 0.0)"
27-03-2026,19:06:10,"(-0.050094946469455566, 0.041035222107958284, 0.006794793271122962)"
27-03-2026,19:06:11,"(-0.05635681477813751, 0.04063552838612752, -0.0019984686091538122)"
27-03-2026,19:06:12,"(-0.0558238898156965, 0.03890352225819422, -0.0018652373685435584)"
27-03-2026,19:06:13,"(-0.053159265003491406, 0.03903675349880447, -0.003863705977697371)"
27-03-2026,19:06:14,"(-0.05662327725935802, 0.04383307816077362, -0.0003996937218307625)"
27-03-2026,19:06:15,"(-0.05542419609386573, 0.0401026034236865, -0.0019984686091538122)"
27-03-2026,19:06:17,"(-0.0511607963943376, 0.04276722823589159, -0.0074609494741742334)"
27-03-2026,19:06:18,"(-0.05156049011616837, 0.04063552838612752, -0.00159877488732305)"
27-03-2026,19:06:19,"(-0.05728943346240929, 0.041301684589178794, 0.0030643185340358454)"
27-03-2026,19:06:20,"(-0.0558238898156965, 0.03970290970185574, -0.015588055151399738)"
27-03-2026,19:06:21,"(-0.05649004601874777, 0.04396630940138387, -0.007993874436615249)"
27-03-2026,19:06:22,"(-0.05515773361264523, 0.041967840792230066, 0.006528330789902454)"
27-03-2026,19:06:23,"(-0.05862174586851183, 0.041301684589178794, 0.0037304747370871167)"
27-03-2026,19:06:24,"(-0.05049464019128633, 0.0401026034236865, -0.0019984686091538122)"
27-03-2026,19:06:25,"(-0.05595712105630675, 0.037171516130260915, -0.0030643185340358454)"
27-03-2026,19:06:26,"(-0.0543583461689837, 0.040901990867348026, -0.0035972434964768626)"
27-03-2026,19:06:27,"(-0.05515773361264523, 0.046098009251147945, 0.0)"
27-03-2026,19:06:28,"(-0.054225114928373445, 0.0415681470703993, 0.00866003063966652)"
27-03-2026,19:06:29,"(-0.05102756515372735, 0.044099540641994124, -0.0057289433462409285)"
27-03-2026,19:06:30,"(-0.05515773361264523, 0.04063552838612752, -0.005995405827461438)"
27-03-2026,19:06:32,"(-0.05102756515372735, 0.041834609551619814, -0.0033307810152563544)"
27-03-2026,19:06:33,"(-0.05329249624410167, 0.04316692195772235, -0.002531393571594829)"
27-03-2026,19:06:34,"(-0.05635681477813751, 0.0430336907171121, -0.0033307810152563544)"
27-03-2026,19:06:35,"(-0.05382542120654268, 0.0415681470703993, 0.0003996937218307625)"
27-03-2026,19:06:36,"(-0.05542419609386573, 0.04449923436382489, -0.0021316998497640663)"
27-03-2026,19:06:37,"(-0.05395865244715294, 0.03970290970185574, 0.0021316998497640663)"
27-03-2026,19:06:38,"(-0.05529096485325548, 0.0415681470703993, -0.00479632466196915)"
27-03-2026,19:06:39,"(-0.05622358353752725, 0.04223430327345057, -0.004263399699528133)"
27-03-2026,19:06:40,"(-0.053159265003491406, 0.04316692195772235, -0.0026646248122050836)"
27-03-2026,19:06:41,"(-0.05342572748471192, 0.04316692195772235, -0.0037304747370871167)"
27-03-2026,19:06:42,"(-0.0514272588755581, 0.04343338443894285, -0.0035972434964768626)"
